# ----------------------------------------
# kizunacare.com
# UTM Report - Non-Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Sessions,Engaged sessions
,,,,,2893,1161,Grand total
20250103,m.facebook.com / referral,(referral),(not set),(not set),111,7
20250102,m.facebook.com / referral,(referral),(not set),(not set),92,6
20250104,m.facebook.com / referral,(referral),(not set),(not set),92,5
20250111,(not set),(not set),(not set),(not set),91,45
20250105,m.facebook.com / referral,(referral),(not set),(not set),90,13
20250101,m.facebook.com / referral,(referral),(not set),(not set),89,5
20250103,(direct) / (none),(direct),(not set),(not set),59,4
20250105,l.facebook.com / referral,(referral),(not set),(not set),56,24
20250101,(direct) / (none),(direct),(not set),(not set),54,1
20250102,(direct) / (none),(direct),(not set),(not set),54,3
20250106,m.facebook.com / referral,(referral),(not set),(not set),54,9
20250108,(direct) / (none),(direct),(not set),(not set),51,15
20250131,(direct) / (none),(direct),(not set),(not set),36,15
20250128,(direct) / (none),(direct),(not set),(not set),29,12
20250129,(direct) / (none),(direct),(not set),(not set),28,12
20250109,(direct) / (none),(direct),(not set),(not set),27,8
20250205,(direct) / (none),(direct),(not set),(not set),24,11
20250123,(direct) / (none),(direct),(not set),(not set),22,7
20250127,(direct) / (none),(direct),(not set),(not set),22,3
20250204,(direct) / (none),(direct),(not set),(not set),22,11
20250104,(direct) / (none),(direct),(not set),(not set),21,1
20250106,l.facebook.com / referral,(referral),(not set),(not set),19,11
20250110,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,19,2
20250203,(direct) / (none),(direct),(not set),(not set),19,10
20250113,(direct) / (none),(direct),(not set),(not set),18,4
20250115,meta / paid_social,2025_sf_leads_families,newcost,geoonly,18,3
20250207,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),18,9
20250114,meta / paid_social,2025_sf_leads_families,newcost,geoonly,17,11
20250118,meta / paid_social,2025_sf_leads_families,newcost,geoonly,17,12
20250120,(not set),(not set),(not set),(not set),17,10
20250113,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,16,9
20250119,meta / paid_social,2025_sf_leads_families,newcost,geoonly,16,5
20250106,(direct) / (none),(direct),(not set),(not set),15,4
20250120,(direct) / (none),(direct),(not set),(not set),15,7
20250124,(direct) / (none),(direct),(not set),(not set),15,9
20250127,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,15,7
20250202,(direct) / (none),(direct),(not set),(not set),15,12
20250107,(direct) / (none),(direct),(not set),(not set),14,6
20250122,(direct) / (none),(direct),(not set),(not set),14,7
20250204,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),14,8
20250208,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),14,9
20250116,meta / paid_social,2025_sf_leads_families,newcost,geoonly,13,5
20250117,meta / paid_social,2025_sf_leads_families,newcost,geoonly,13,4
20250120,google / organic,(organic),(not set),(not provided),13,6
20250121,(direct) / (none),(direct),(not set),(not set),13,5
20250126,(direct) / (none),(direct),(not set),(not set),13,6
20250207,(direct) / (none),(direct),(not set),(not set),13,8
20250108,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,12,1
20250108,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,12,3
20250108,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,12,5
20250110,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,12,2
20250128,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,12,1
20250129,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,12,1
20250105,(direct) / (none),(direct),(not set),(not set),11,4
20250110,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,11,3
20250112,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,11,3
20250114,(direct) / (none),(direct),(not set),(not set),11,4
20250120,meta / paid_social,2025_sf_leads_families,newcost,geoonly,11,3
20250203,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,11,2
20250107,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,10,6
20250110,(direct) / (none),(direct),(not set),(not set),10,6
20250114,google / organic,(organic),(not set),(not provided),10,7
20250114,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,10,6
20250117,google / organic,(organic),(not set),(not provided),10,5
20250127,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,10,6
20250127,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,10,5
20250130,(direct) / (none),(direct),(not set),(not set),10,4
20250106,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,9
20250107,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,3
20250109,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,4
20250109,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,9,3
20250112,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,3
20250116,(direct) / (none),(direct),(not set),(not set),9,4
20250119,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,9,4
20250130,google / organic,(organic),(not set),(not provided),9,9
20250206,(direct) / (none),(direct),(not set),(not set),9,4
20250209,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),9,4
20250106,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,8,8
20250107,google / organic,(organic),(not set),(not provided),8,4
20250107,medium.com / referral,(referral),(not set),(not set),8,7
20250109,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,8,3
20250110,google / organic,(organic),(not set),(not provided),8,5
20250119,(direct) / (none),(direct),(not set),(not set),8,6
20250121,google / organic,(organic),(not set),(not provided),8,3
20250121,meta / paid_social,2025_sf_leads_families,newcost,geoonly,8,3
20250123,marinij / email,(not set),(not set),(not set),8,4
20250130,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,8,5
20250131,google / organic,(organic),(not set),(not provided),8,6
20250203,google / organic,(organic),(not set),(not provided),8,4
20250204,fb / cpc,Caregiver - Nov 6th Campaign,Autonomy,(not set),8,7
20250206,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,8,0
20250208,google / organic,(organic),(not set),(not provided),8,6
20250106,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,6
20250106,google / organic,(organic),(not set),(not provided),7,5
20250106,medium.com / referral,(referral),(not set),(not set),7,4
20250107,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,0
20250112,(direct) / (none),(direct),(not set),(not set),7,2
20250113,google / organic,(organic),(not set),(not provided),7,4
20250113,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,3
20250117,(direct) / (none),(direct),(not set),(not set),7,2
20250117,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,7,2
20250121,meta / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,6
20250122,medium.com / referral,(referral),(not set),(not set),7,3
20250128,teams.microsoft.com / referral,(referral),(not set),(not set),7,4
20250201,(direct) / (none),(direct),(not set),(not set),7,4
20250205,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),7,3
20250205,kizunacareblogs.weebly.com / referral,(referral),(not set),(not set),7,5
20250208,(direct) / (none),(direct),(not set),(not set),7,6
20250106,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,6,4
20250115,(direct) / (none),(direct),(not set),(not set),6,2
20250118,(direct) / (none),(direct),(not set),(not set),6,1
20250120,medium.com / referral,(referral),(not set),(not set),6,5
20250121,business.facebook.com / referral,(referral),(not set),(not set),6,4
20250121,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,6,5
20250122,google / organic,(organic),(not set),(not provided),6,5
20250125,(direct) / (none),(direct),(not set),(not set),6,3
20250127,fb / paid_social,2025_sf_leads_families,built,families_oginterest,6,6
20250127,fb / paid_social,2025_sf_leads_families,embrace,families_oginterest,6,5
20250128,fb / paid_social,2025_sf_leads_families,built,families_oginterest,6,1
20250128,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,6,1
20250130,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,6,0
20250203,google / cpc,(organic),(not set),(not provided),6,3
20250204,fb / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),6,5
20250204,m.facebook.com / referral,(referral),(not set),(not set),6,6
20250207,adsmanager.facebook.com / referral,(referral),(not set),(not set),6,4
20250209,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,6,1
20250108,google / organic,(organic),(not set),(not provided),5,2
20250108,medium.com / referral,(referral),(not set),(not set),5,4
20250111,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,5,1
20250116,medium.com / referral,(referral),(not set),(not set),5,3
20250118,google / organic,(organic),(not set),(not provided),5,4
20250118,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,5,4
20250121,meta / paid_social,2025_sf_leads_families,newtrust,families_oginterest,5,5
20250128,medium.com / referral,(referral),(not set),(not set),5,4
20250128,{{site_source_name}} / paid_social,2025_sf_leads_families,built,families_oginterest,5,3
20250130,ahrefs.com / referral,(referral),(not set),(not set),5,3
20250130,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,5,1
20250131,fb / paid_social,2025_sf_leads_families,built,families_oginterest,5,2
20250131,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,5,1
20250204,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,5,1
20250204,kizunacareblogs.weebly.com / referral,(referral),(not set),(not set),5,2
20250205,fb / cpc,Caregiver - Nov 6th Campaign,Respect,(not set),5,0
20250206,fb / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),5,3
20250207,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,5,3
20250209,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,5,1
20250108,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,4,1
20250109,google / organic,(organic),(not set),(not provided),4,2
20250109,medium.com / referral,(referral),(not set),(not set),4,4
20250113,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,4,1
20250113,medium.com / referral,(referral),(not set),(not set),4,2
20250114,medium.com / referral,(referral),(not set),(not set),4,2
20250115,medium.com / referral,(referral),(not set),(not set),4,3
20250115,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,4,1
20250116,google / organic,(organic),(not set),(not provided),4,3
20250116,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,4,3
20250117,medium.com / referral,(referral),(not set),(not set),4,3
20250119,google / organic,(organic),(not set),(not provided),4,3
20250120,teams.microsoft.com / referral,(referral),(not set),(not set),4,4
20250121,medium.com / referral,(referral),(not set),(not set),4,2
20250123,google / organic,(organic),(not set),(not provided),4,2
20250123,search.google.com / referral,(referral),(not set),(not set),4,2
20250124,google / organic,(organic),(not set),(not provided),4,1
20250125,google / organic,(organic),(not set),(not provided),4,3
20250127,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,4,3
20250128,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,4,1
20250128,tagassistant.google.com / referral,(referral),(not set),(not set),4,4
20250129,google / organic,(organic),(not set),(not provided),4,3
20250130,fb / paid_social,2025_sf_leads_families,built,families_oginterest,4,3
20250130,medium.com / referral,(referral),(not set),(not set),4,4
20250130,search.google.com / referral,(referral),(not set),(not set),4,3
20250131,marinij / email,(not set),(not set),(not set),4,2
20250201,fb / paid_social,2025_sf_leads_families,built,families_oginterest,4,1
20250203,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,4,3
20250203,marinij / email,(not set),(not set),(not set),4,1
20250204,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,4,1
20250206,adsmanager.facebook.com / referral,(referral),(not set),(not set),4,3
20250206,ig / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),4,3
20250209,(direct) / (none),(direct),(not set),(not set),4,1
20250101,google / organic,(organic),(not set),(not provided),3,3
20250108,business.facebook.com / referral,(referral),(not set),(not set),3,3
20250109,teams.microsoft.com / referral,(referral),(not set),(not set),3,1
20250111,(direct) / (none),(direct),(not set),(not set),3,1
20250111,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,3,3
20250111,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,3,1
20250112,medium.com / referral,(referral),(not set),(not set),3,2
20250113,marinij / email,(not set),(not set),(not set),3,1
20250113,search.google.com / referral,(referral),(not set),(not set),3,2
20250114,business.facebook.com / referral,(referral),(not set),(not set),3,2
20250115,google / cpc,(not set),(not set),(not set),3,0
20250115,google / organic,(organic),(not set),(not provided),3,2
20250116,tagassistant.google.com / referral,(referral),(not set),(not set),3,3
20250120,meta / paid_social,2025_sf_leads_families,newtrust,geoonly,3,1
20250122,google / cpc,(not set),(not set),(not set),3,0
20250123,business.facebook.com / referral,(referral),(not set),(not set),3,3
20250127,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),3,3
20250127,medium.com / referral,(referral),(not set),(not set),3,3
20250127,search.google.com / referral,(referral),(not set),(not set),3,1
20250127,tagassistant.google.com / referral,(referral),(not set),(not set),3,1
20250128,google / organic,(organic),(not set),(not provided),3,3
20250129,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,3,3
20250129,teams.microsoft.com / referral,(referral),(not set),(not set),3,1
20250131,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),3,2
20250131,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,3,2
20250131,yahoo / organic,(organic),(not set),(not provided),3,2
20250202,google / organic,(organic),(not set),(not provided),3,2
20250202,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,3,3
20250204,ahrefs.com / referral,(referral),(not set),(not set),3,1
20250204,facebook.com / referral,(referral),(not set),(not set),3,3
20250204,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,3,2
20250204,google / organic,(organic),(not set),(not provided),3,1
20250204,search.google.com / referral,(referral),(not set),(not set),3,3
20250204,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,3,2
20250205,adsmanager.facebook.com / referral,(referral),(not set),(not set),3,3
20250205,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,3,1
20250205,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,3,0
20250205,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,3,1
20250205,instagram / paid_social,2025_sf_leads_families,embrace,families_oginterest,3,2
20250205,m.facebook.com / referral,(referral),(not set),(not set),3,3
20250205,teams.microsoft.com / referral,(referral),(not set),(not set),3,2
20250205,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,3,2
20250205,{{site_source_name}} / paid_social,2025_sf_leads_families,embrace,families_oginterest,3,2
20250206,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),3,2
20250206,fb / paid_social,2025_sf_leads_families,compare,families_oginterest,3,3
20250206,google / organic,(organic),(not set),(not provided),3,1
20250206,instagram / paid_social,2025_sf_leads_families,built,families_oginterest,3,0
20250207,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),3,0
20250207,fb / paid_social,2025_sf_leads_families,built,families_oginterest,3,1
20250207,instagram / paid_social,2025_sf_leads_families,compare,families_oginterest,3,0
20250207,m.facebook.com / referral,(referral),(not set),(not set),3,3
20250207,{{site_source_name}} / paid_social,2025_sf_leads_families,compare,families_oginterest,3,2
20250208,ig / cpc,Caregiver - Nov 6th Campaign,Impact,(not set),3,2
20250208,m.facebook.com / referral,(referral),(not set),(not set),3,3
20250101,facebook.com / referral,(referral),(not set),(not set),2,2
20250101,medium.com / referral,(referral),(not set),(not set),2,2
20250102,google / organic,(organic),(not set),(not provided),2,2
20250103,business.facebook.com / referral,(referral),(not set),(not set),2,2
20250103,medium.com / referral,(referral),(not set),(not set),2,1
20250104,l.facebook.com / referral,(referral),(not set),(not set),2,2
20250105,medium.com / referral,(referral),(not set),(not set),2,1
20250106,business.facebook.com / referral,(referral),(not set),(not set),2,2
20250107,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,2,1
20250107,marinij / email,(not set),(not set),(not set),2,0
20250107,teams.microsoft.com / referral,(referral),(not set),(not set),2,1
20250108,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),2,2
20250108,teams.microsoft.com / referral,(referral),(not set),(not set),2,1
20250109,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),2,1
20250109,facebook.com / referral,(referral),(not set),(not set),2,2
20250109,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,2,1
20250110,google / cpc,(not set),(not set),(not set),2,0
20250112,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,2,1
20250112,l.facebook.com / referral,(referral),(not set),(not set),2,1
20250113,yahoo / organic,(organic),(not set),(not provided),2,1
20250115,business.facebook.com / referral,(referral),(not set),(not set),2,1
