Daily Performance: Ad Group Level
"January 1, 2025 - February 9, 2025"
Day,Campaign,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Conv. rate,Events / session (GA4)
2025-01-01,TS / Search / San Francisco,Brand,3,2,66.67%,USD,1.96,0.00,0.00%,5.00
2025-01-01,TS / Search / San Francisco,Companion Care Services,14,2,14.29%,USD,4.62,0.00,0.00%,3.00
2025-01-01,TS / Search / San Francisco,In-Home Care Services,116,4,3.45%,USD,26.40,0.00,0.00%,5.75
2025-01-01,TS / Search / San Francisco,Old Keywords,139,10,7.19%,USD,25.83,0.00,0.00%,5.22
2025-01-01,TS / Search / San Francisco,Personal Care Services,22,2,9.09%,USD,6.42,0.00,0.00%,3.00
2025-01-01,TS / Search / San Francisco,Respite Care Services,2,0,0.00%,USD,0.00,0.00,0, --
2025-01-01,TS / Search / San Francisco,Senior Care Services,51,4,7.84%,USD,5.70,0.00,0.00%,3.75
2025-01-02,TS / Search / San Francisco,Brand,4,1,25.00%,USD,4.27,0.00,0.00%,5.00
2025-01-02,TS / Search / San Francisco,Companion Care Services,33,4,12.12%,USD,14.26,0.00,0.00%,5.50
2025-01-02,TS / Search / San Francisco,In-Home Care Services,448,22,4.91%,USD,82.07,0.00,0.00%,5.33
2025-01-02,TS / Search / San Francisco,Old Keywords,357,28,7.84%,USD,176.52,1.00,3.57%,6.33
2025-01-02,TS / Search / San Francisco,Personal Care Services,18,4,22.22%,USD,16.50,0.00,0.00%,4.75
2025-01-02,TS / Search / San Francisco,Respite Care Services,14,1,7.14%,USD,1.39,0.00,0.00%,10.00
2025-01-02,TS / Search / San Francisco,Senior Care Services,138,16,11.59%,USD,37.20,0.00,0.00%,4.19
2025-01-03,TS / Search / San Francisco,Brand,2,1,50.00%,USD,3.35,0.00,0.00%, --
2025-01-03,TS / Search / San Francisco,Companion Care Services,52,6,11.54%,USD,15.36,0.00,0.00%,10.00
2025-01-03,TS / Search / San Francisco,In-Home Care Services,266,26,9.77%,USD,89.69,0.00,0.00%,4.89
2025-01-03,TS / Search / San Francisco,Old Keywords,218,17,7.80%,USD,69.37,0.00,0.00%,5.69
2025-01-03,TS / Search / San Francisco,Personal Care Services,15,2,13.33%,USD,5.21,0.00,0.00%,4.00
2025-01-03,TS / Search / San Francisco,Respite Care Services,11,2,18.18%,USD,6.93,0.00,0.00%,4.50
2025-01-03,TS / Search / San Francisco,Senior Care Services,100,13,13.00%,USD,27.93,0.00,0.00%,3.58
2025-01-04,TS / Search / San Francisco,Brand,1,1,100.00%,USD,0.01,0.00,0.00%,13.00
2025-01-04,TS / Search / San Francisco,Companion Care Services,57,12,21.05%,USD,27.11,0.00,0.00%,4.18
2025-01-04,TS / Search / San Francisco,In-Home Care Services,294,18,6.12%,USD,81.29,0.00,0.00%,4.19
2025-01-04,TS / Search / San Francisco,Old Keywords,202,16,7.92%,USD,66.69,0.00,0.00%,5.56
2025-01-04,TS / Search / San Francisco,Personal Care Services,12,3,25.00%,USD,9.09,0.00,0.00%,5.00
2025-01-04,TS / Search / San Francisco,Respite Care Services,14,0,0.00%,USD,0.00,0.00,0, --
2025-01-04,TS / Search / San Francisco,Senior Care Services,116,20,17.24%,USD,45.08,0.00,0.00%,4.84
2025-01-05,TS / Search / San Francisco,Brand,1,1,100.00%,USD,3.10,0.00,0.00%, --
2025-01-05,TS / Search / San Francisco,Companion Care Services,59,8,13.56%,USD,16.15,0.00,0.00%,4.38
2025-01-05,TS / Search / San Francisco,In-Home Care Services,261,21,8.05%,USD,70.47,0.00,0.00%,4.84
2025-01-05,TS / Search / San Francisco,Old Keywords,224,16,7.14%,USD,67.06,0.00,0.00%,4.73
2025-01-05,TS / Search / San Francisco,Personal Care Services,33,5,15.15%,USD,13.11,0.00,0.00%,6.00
2025-01-05,TS / Search / San Francisco,Respite Care Services,6,0,0.00%,USD,0.00,0.00,0, --
2025-01-05,TS / Search / San Francisco,Senior Care Services,108,20,18.52%,USD,38.29,0.00,0.00%,4.75
2025-01-06,TS / Search / San Francisco,Brand,4,2,50.00%,USD,5.71,0.00,0.00%,11.00
2025-01-06,TS / Search / San Francisco,Companion Care Services,39,2,5.13%,USD,4.39,0.00,0.00%,4.00
2025-01-06,TS / Search / San Francisco,In-Home Care Services,306,15,4.90%,USD,54.30,0.00,0.00%,5.79
2025-01-06,TS / Search / San Francisco,Old Keywords,288,31,10.76%,USD,86.07,1.00,3.23%,7.12
2025-01-06,TS / Search / San Francisco,Personal Care Services,35,4,11.43%,USD,6.58,0.00,0.00%,4.60
2025-01-06,TS / Search / San Francisco,Respite Care Services,6,1,16.67%,USD,3.46,0.00,0.00%,2.50
2025-01-06,TS / Search / San Francisco,Senior Care Services,115,15,13.04%,USD,56.65,1.00,6.67%,3.57
2025-01-07,TS / Search / San Francisco,Brand,2,0,0.00%,USD,0.00,0.00,0, --
2025-01-07,TS / Search / San Francisco,Companion Care Services,43,3,6.98%,USD,7.96,0.00,0.00%,3.33
2025-01-07,TS / Search / San Francisco,In-Home Care Services,268,13,4.85%,USD,36.65,0.00,0.00%,5.23
2025-01-07,TS / Search / San Francisco,Old Keywords,265,21,7.92%,USD,93.62,1.00,4.76%,5.78
2025-01-07,TS / Search / San Francisco,Personal Care Services,17,2,11.76%,USD,2.87,0.00,0.00%,2.50
2025-01-07,TS / Search / San Francisco,Respite Care Services,11,0,0.00%,USD,0.00,0.00,0, --
2025-01-07,TS / Search / San Francisco,Senior Care Services,67,9,13.43%,USD,17.97,0.00,0.00%,4.60
2025-01-08,TS / Search / San Francisco,Brand,1,1,100.00%,USD,0.91,0.00,0.00%, --
2025-01-08,TS / Search / San Francisco,Companion Care Services,33,7,21.21%,USD,13.43,0.00,0.00%,6.40
2025-01-08,TS / Search / San Francisco,In-Home Care Services,123,9,7.32%,USD,54.04,0.00,0.00%,5.78
2025-01-08,TS / Search / San Francisco,Old Keywords,166,5,3.01%,USD,36.63,1.00,20.00%,6.50
2025-01-08,TS / Search / San Francisco,Personal Care Services,9,1,11.11%,USD,1.95,0.00,0.00%,8.00
2025-01-08,TS / Search / San Francisco,Respite Care Services,2,0,0.00%,USD,0.00,0.00,0, --
2025-01-08,TS / Search / San Francisco,Senior Care Services,51,8,15.69%,USD,20.88,0.00,0.00%,4.00
2025-01-09,TS / Search / San Francisco,Companion Care Services,18,3,16.67%,USD,18.34,0.00,0.00%,5.00
2025-01-09,TS / Search / San Francisco,In-Home Care Services,171,7,4.09%,USD,31.08,1.00,14.29%,7.33
2025-01-09,TS / Search / San Francisco,Old Keywords,195,5,2.56%,USD,13.64,0.00,0.00%,6.67
2025-01-09,TS / Search / San Francisco,Personal Care Services,12,0,0.00%,USD,0.00,0.00,0, --
2025-01-09,TS / Search / San Francisco,Respite Care Services,18,0,0.00%,USD,0.00,0.00,0, --
2025-01-09,TS / Search / San Francisco,Senior Care Services,26,0,0.00%,USD,0.00,0.00,0, --
2025-01-10,TS / Search / San Francisco,Brand,2,2,100.00%,USD,14.64,0.00,0.00%, --
2025-01-10,TS / Search / San Francisco,Companion Care Services,34,5,14.71%,USD,29.40,0.00,0.00%,5.50
2025-01-10,TS / Search / San Francisco,In-Home Care Services,420,24,5.71%,USD,165.81,1.00,4.17%,6.41
2025-01-10,TS / Search / San Francisco,Old Keywords,357,15,4.20%,USD,107.66,0.00,0.00%,4.67
2025-01-10,TS / Search / San Francisco,Personal Care Services,17,1,5.88%,USD,6.83,0.00,0.00%,4.00
2025-01-10,TS / Search / San Francisco,Respite Care Services,49,1,2.04%,USD,4.48,0.00,0.00%,4.00
2025-01-10,TS / Search / San Francisco,Senior Care Services,164,7,4.27%,USD,43.07,0.00,0.00%,4.50
2025-01-11,TS / Search / San Francisco,Brand,3,1,33.33%,USD,26.88,0.00,0.00%, --
2025-01-11,TS / Search / San Francisco,Companion Care Services,18,0,0.00%,USD,0.00,0.00,0, --
