# ----------------------------------------
# kizunacare.com
# UTM Report - Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

,,,,Event name,page_view,session_start,user_engagement,first_visit,scroll,redirect_to_caregiver_form,redirect_to_family_form,Thank_You_Page,caregiver_form_submission,family_form_submission,Totals
Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count
,,,,,5000,2927,2297,2087,1045,180,180,46,44,26,13832,Grand total
20250101,(direct) / (none),(direct),(not set),(not set),54,54,1,52,1,0,0,0,0,0,162
20250101,facebook.com / referral,(referral),(not set),(not set),2,2,2,2,0,0,0,0,0,0,8
20250101,google / organic,(organic),(not set),(not provided),12,3,9,3,6,1,1,0,1,0,36
20250101,m.facebook.com / referral,(referral),(not set),(not set),96,89,3,82,3,2,1,0,0,0,276
20250101,marinij / email,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250101,medium.com / referral,(referral),(not set),(not set),4,2,3,0,0,0,0,0,0,0,9
20250101,yahoo / organic,(organic),(not set),(not provided),1,1,1,1,1,0,0,0,0,0,5
20250102,(direct) / (none),(direct),(not set),(not set),55,54,4,47,0,0,1,0,0,0,161
20250102,google / organic,(organic),(not set),(not provided),6,2,4,1,2,0,1,2,0,1,19
20250102,l.facebook.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250102,m.facebook.com / referral,(referral),(not set),(not set),103,92,8,81,6,3,0,0,2,0,295
20250103,(direct) / (none),(direct),(not set),(not set),59,59,10,55,6,0,0,0,0,0,189
20250103,(not set),(not set),(not set),(not set),0,0,1,0,0,0,0,0,0,0,1
20250103,an / an,120213075935380406,120213076027900406,(not set),1,1,0,0,0,0,0,0,0,0,2
20250103,bing / organic,(organic),(not set),(not provided),1,1,1,1,0,0,0,0,0,0,4
20250103,bluehost.com / referral,(referral),(not set),(not set),6,1,6,0,5,0,0,0,0,0,18
20250103,business.facebook.com / referral,(referral),(not set),(not set),3,2,1,0,0,1,0,0,0,0,7
20250103,duckduckgo / organic,(organic),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250103,facebook.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250103,google / organic,(organic),(not set),(not provided),1,1,1,1,1,0,0,0,0,0,5
20250103,l.facebook.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250103,listrak / Email,Need In-Home Care? Free Matching Ends Soon! 🏠,(not set),https://kizunacare.com/continue/?utm_source=marinij&utm_medium=email,1,1,1,0,0,0,0,0,0,0,3
20250103,m.facebook.com / referral,(referral),(not set),(not set),121,111,8,100,6,2,0,0,3,0,351
20250103,medium.com / referral,(referral),(not set),(not set),4,2,3,0,0,0,0,0,0,0,9
20250103,search.google.com / referral,(referral),(not set),(not set),1,1,0,0,0,0,0,0,0,0,2
20250104,(direct) / (none),(direct),(not set),(not set),21,21,1,20,1,0,0,0,0,0,64
20250104,business.facebook.com / referral,(referral),(not set),(not set),1,1,1,0,0,0,0,0,0,0,3
20250104,facebook.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250104,google / cpc,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250104,google / organic,(organic),(not set),(not provided),4,1,2,1,0,1,0,0,1,0,10
20250104,l.facebook.com / referral,(referral),(not set),(not set),3,2,3,2,3,0,0,0,0,0,13
20250104,m.facebook.com / referral,(referral),(not set),(not set),94,92,0,82,4,0,0,0,0,0,272
20250104,m.prod.facebook.com / referral,(referral),(not set),(not set),1,1,0,0,0,0,0,0,0,0,2
20250104,marinij / email,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250105,(direct) / (none),(direct),(not set),(not set),18,11,10,9,1,0,0,0,0,0,49
20250105,duckduckgo / organic,(organic),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250105,google / cpc,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250105,google / organic,(organic),(not set),(not provided),4,1,3,1,0,0,0,0,0,0,9
20250105,l.facebook.com / referral,(referral),(not set),(not set),117,56,29,50,13,2,2,0,0,0,269
20250105,m.facebook.com / referral,(referral),(not set),(not set),108,90,12,75,10,3,3,2,1,1,305
20250105,marinij / email,(not set),(not set),(not set),1,1,0,0,0,0,0,0,0,0,2
20250105,medium.com / referral,(referral),(not set),(not set),3,2,2,0,0,0,0,0,0,0,7
20250106,(direct) / (none),(direct),(not set),(not set),25,15,11,11,1,2,1,0,2,0,68
20250106,business.facebook.com / referral,(referral),(not set),(not set),6,2,3,0,0,2,0,0,0,0,13
20250106,cn.bing.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250106,duckduckgo / organic,(organic),(not set),(not set),1,1,1,1,1,0,0,0,0,0,5
20250106,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,9,7,2,7,1,2,1,0,0,0,29
20250106,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,7,6,2,6,2,0,0,0,0,0,23
20250106,google / organic,(organic),(not set),(not provided),7,7,4,6,2,0,0,0,0,0,26
20250106,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,15,9,2,9,1,4,2,0,0,0,42
20250106,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,17,8,8,7,2,2,2,0,0,0,46
20250106,l.facebook.com / referral,(referral),(not set),(not set),33,19,17,15,7,4,1,0,0,0,96
20250106,listrak / Email,Need In-Home Care? Free Matching Ends Soon! 🏠,(not set),https://kizunacare.com/continue/?utm_source=marinij&utm_medium=email,1,1,0,0,0,0,0,0,0,0,2
20250106,m.facebook.com / referral,(referral),(not set),(not set),65,54,7,48,6,3,1,0,1,0,185
20250106,marinij / email,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250106,medium.com / referral,(referral),(not set),(not set),11,7,8,0,0,0,0,0,0,0,26
20250106,search.google.com / referral,(referral),(not set),(not set),6,1,6,0,4,0,0,0,0,0,17
20250106,us.search.yahoo.com / referral,(referral),(not set),(not set),1,1,1,1,0,0,0,0,0,0,4
20250107,(direct) / (none),(direct),(not set),(not set),18,14,9,9,3,0,0,0,0,0,53
20250107,(not set),(not set),(not set),(not set),2,0,2,0,2,0,0,2,0,1,9
20250107,bluehost.com / referral,(referral),(not set),(not set),42,1,44,0,23,0,0,0,0,0,110
20250107,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,14,9,7,9,4,1,0,0,1,0,45
20250107,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,18,10,13,7,2,1,0,0,0,0,51
20250107,google / organic,(organic),(not set),(not provided),9,8,5,6,2,0,0,0,0,0,30
20250107,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,7,7,0,7,0,0,0,0,0,0,21
20250107,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,3,2,0,1,0,0,0,0,0,0,6
20250107,marinij / email,(not set),(not set),(not set),2,2,0,2,0,0,0,0,0,0,6
20250107,medium.com / referral,(referral),(not set),(not set),18,8,9,0,0,0,0,0,0,0,35
20250107,teams.microsoft.com / referral,(referral),(not set),(not set),13,2,13,0,3,0,0,0,0,0,31
20250108,(direct) / (none),(direct),(not set),(not set),85,51,52,46,17,2,2,0,0,0,255
20250108,apps.usw2.pure.cloud / referral,(referral),(not set),(not set),4,1,5,0,0,0,0,0,0,0,10
20250108,bluehost.com / referral,(referral),(not set),(not set),3,1,1,0,2,0,0,0,0,0,7
20250108,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),32,2,32,0,15,0,0,0,0,0,81
20250108,business.facebook.com / referral,(referral),(not set),(not set),13,3,11,0,4,1,2,0,0,0,34
20250108,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,13,12,0,12,1,1,0,0,0,0,39
20250108,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,13,12,1,11,2,0,0,0,0,0,39
20250108,google / cpc,(referral),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250108,google / organic,(organic),(not set),(not provided),7,5,5,1,0,0,0,0,0,0,18
20250108,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,16,12,3,12,5,2,0,0,0,0,50
20250108,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,4,4,0,4,1,0,0,0,0,0,13
20250108,l.instagram.com / referral,(referral),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250108,marinij / email,(not set),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
20250108,medium.com / referral,(referral),(not set),(not set),9,5,8,0,0,0,0,0,0,0,22
20250108,sh118.webhostingservices.com:2083 / referral,(referral),(not set),(not set),1,1,1,0,0,0,0,0,0,0,3
20250108,teams.microsoft.com / referral,(referral),(not set),(not set),6,2,8,0,0,0,0,0,0,0,16
20250109,(direct) / (none),(direct),(not set),(not set),36,27,21,15,6,1,2,0,0,0,108
20250109,(not set),(not set),(not set),(not set),1,0,0,0,0,0,0,0,0,0,1
20250109,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),34,2,31,0,21,0,1,0,0,0,89
20250109,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,12,9,5,8,2,1,0,0,0,0,37
20250109,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,8,9,2,7,2,0,0,0,0,0,28
20250109,facebook.com / referral,(referral),(not set),(not set),2,2,2,2,0,0,0,0,0,0,8
20250109,google / organic,(organic),(not set),(not provided),4,4,3,0,1,0,0,0,0,0,12
20250109,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,10,8,1,7,1,0,1,0,0,0,28
20250109,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,2,2,0,1,1,0,0,0,0,0,6
20250109,marinij / email,(not set),(not set),(not set),1,1,0,0,0,0,0,0,0,0,2
20250109,medium.com / referral,(referral),(not set),(not set),11,4,7,0,0,0,0,0,0,0,22
20250109,teams.microsoft.com / referral,(referral),(not set),(not set),7,3,4,0,4,1,0,0,0,0,19
20250110,(direct) / (none),(direct),(not set),(not set),17,10,10,5,7,1,1,0,0,0,51
20250110,127.0.0.1:5500 / referral,(referral),(not set),(not set),2,1,2,0,0,0,0,0,0,0,5
20250110,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),1,1,0,0,0,0,0,0,0,0,2
20250110,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,23,19,4,19,2,2,0,0,0,0,69
20250110,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,15,12,4,10,2,0,0,0,0,0,43
20250110,google / cpc,(not set),(not set),(not set),2,2,0,2,0,0,0,0,0,0,6
20250110,google / organic,(organic),(not set),(not provided),12,8,8,6,6,0,0,0,0,0,40
20250110,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,14,11,1,11,2,0,1,0,0,0,40
20250110,instagram / paid_social,2025_sf_leads_families,newtrust,families_oginterest,1,1,0,1,0,0,0,0,0,0,3
20250110,l.instagram.com / referral,(referral),(not set),(not set),1,1,0,1,0,0,0,0,0,0,3
